Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Apr,4,Mazda,Urban,May,4,Female,Single,27,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Aug,5,Toyota,Urban,Oct,4,Male,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,more than 5,2 vehicles,Liability,No
Dec,2,Toyota,Urban,Dec,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Sep,1,Pontiac,Urban,Sep,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Liability,No
Mar,4,Toyota,Urban,Apr,1,Male,Single,27,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Nov,2,Toyota,Urban,Nov,4,Male,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,Yes,none,1 vehicle,Liability,No
Sep,3,Saab,Urban,Sep,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Feb,4,Pontiac,Urban,Feb,4,Female,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Jul,1,Accura,Urban,Jul,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Jan,3,Chevrolet,Urban,Jan,3,Male,Married,28,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
Mar,3,Chevrolet,Rural,Mar,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,Yes
Feb,3,Pontiac,Urban,Feb,4,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Jun,2,Chevrolet,Urban,Jun,3,Female,Single,28,Third Party,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Sep,4,Toyota,Urban,Sep,4,Male,Single,29,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Dec,3,VW,Urban,Dec,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Apr,5,Mazda,Urban,May,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Oct,2,Honda,Urban,Oct,2,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Aug,4,Pontiac,Urban,Sep,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Sep,4,Toyota,Urban,Oct,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Apr,2,Pontiac,Urban,Apr,4,Female,Married,30,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Jun,4,Honda,Urban,Jun,4,Male,Married,30,Third Party,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Feb,3,Toyota,Urban,Mar,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Mar,4,Pontiac,Urban,Mar,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Mar,1,Dodge,Urban,Sep,4,Male,Married,30,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
May,5,Pontiac,Urban,Jun,1,Male,Single,30,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Sep,3,Pontiac,Urban,Sep,5,Male,Married,30,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Feb,4,Mazda,Urban,Mar,1,Male,Single,31,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Aug,1,Mazda,Urban,Aug,1,Male,Married,31,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Aug,5,Pontiac,Urban,Aug,5,Female,Single,31,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Jan,2,Honda,Urban,Jan,4,Male,Married,31,Third Party,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Feb,1,Accura,Urban,Feb,2,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,Yes
Sep,3,Mazda,Urban,Sep,3,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Feb,3,Toyota,Urban,Feb,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
Jul,1,Pontiac,Urban,Jul,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Aug,5,Toyota,Urban,Sep,1,Male,Single,33,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Jun,3,Toyota,Urban,Jun,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Jul,3,Honda,Urban,Jul,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",8 to 15,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Liability,No
Aug,3,VW,Urban,Aug,3,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
Feb,3,Pontiac,Urban,Feb,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Jan,1,Mazda,Urban,Jan,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
Mar,3,Chevrolet,Urban,Mar,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Feb,2,Pontiac,Urban,Feb,3,Male,Single,35,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Jun,2,Mazda,Urban,Jun,2,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,Yes
Sep,4,Honda,Urban,Sep,4,Male,Married,35,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Apr,3,Honda,Urban,Apr,3,Male,Married,35,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Jan,3,Pontiac,Urban,Feb,1,Male,Married,35,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
Jan,3,Pontiac,Urban,Jan,3,Male,Married,35,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Liability,No
Jun,4,Pontiac,Urban,Jun,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Liability,No
Oct,3,Pontiac,Urban,Oct,4,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,Collision,Yes
Feb,1,Pontiac,Urban,Feb,2,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Apr,4,Chevrolet,Rural,Apr,5,Male,Married,36,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,1 vehicle,Liability,No
Mar,1,Toyota,Urban,Mar,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Oct,4,Chevrolet,Urban,Oct,4,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,1 to 2,1 vehicle,Liability,No
Oct,3,Toyota,Urban,Oct,3,Male,Married,36,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Collision,No
Apr,3,Honda,Urban,May,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,36 to 40,Yes,none,1 vehicle,Collision,No
Aug,1,Chevrolet,Urban,Aug,4,Female,Married,36,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jan,4,Mazda,Urban,Jan,4,Male,Married,36,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
May,2,Toyota,Urban,Jun,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Apr,4,Toyota,Urban,Apr,4,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,Yes
Aug,3,Accura,Urban,Aug,4,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,Yes
Feb,4,Toyota,Rural,Mar,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,No
Mar,5,Dodge,Urban,Apr,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,36 to 40,Yes,more than 5,1 vehicle,Liability,No
Mar,1,Chevrolet,Urban,Mar,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,3 to 5,1 vehicle,Collision,No
Jun,1,Honda,Urban,Jun,3,Male,Married,37,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Dec,2,Mercury,Urban,Dec,3,Female,Single,37,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,1,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Dec,4,Chevrolet,Urban,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,2 vehicles,All Perils,No
Jun,3,Honda,Urban,Jun,5,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
May,3,Toyota,Urban,Jul,1,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Aug,5,Toyota,Urban,Aug,5,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Dec,2,Pontiac,Urban,Dec,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jul,1,Honda,Rural,Jul,1,Male,Single,37,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Sep,1,Pontiac,Urban,Sep,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,3 to 5,1 vehicle,Liability,No
Feb,3,Pontiac,Urban,Feb,3,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Jul,3,Toyota,Urban,Mar,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,Yes
Oct,3,Pontiac,Urban,Oct,4,Male,Single,38,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,2 vehicles,Liability,No
Sep,4,Honda,Urban,Sep,5,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,1 to 2,2 vehicles,All Perils,No
Mar,4,Pontiac,Urban,Apr,3,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Apr,4,Pontiac,Urban,May,1,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Jun,2,Chevrolet,Urban,Jun,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
May,1,Toyota,Urban,May,3,Female,Single,38,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Apr,4,VW,Urban,Apr,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Aug,4,Pontiac,Urban,Aug,5,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Jan,4,Toyota,Urban,Feb,3,Female,Married,38,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Jan,2,Pontiac,Urban,Jan,2,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Sep,1,Pontiac,Urban,Sep,2,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
May,2,Toyota,Urban,May,2,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Apr,1,Mazda,Urban,Apr,1,Male,Single,39,Third Party,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,1 vehicle,All Perils,No
Dec,3,Toyota,Urban,Dec,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jul,5,Honda,Urban,Aug,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Liability,No
May,1,Mazda,Urban,May,2,Male,Married,39,Third Party,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Dec,5,Chevrolet,Urban,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jun,4,Toyota,Urban,Jun,4,Male,Married,39,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Jun,2,Honda,Urban,Jun,2,Male,Married,39,Third Party,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Nov,2,Mazda,Urban,Nov,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,none,1 vehicle,Liability,No
Nov,1,Mazda,Urban,Nov,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
May,4,Chevrolet,Urban,May,5,Female,Single,40,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Oct,2,Chevrolet,Urban,Oct,3,Male,Married,40,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Dec,2,Honda,Rural,Dec,2,Male,Married,40,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Dec,1,Toyota,Urban,Dec,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,none,1 vehicle,Liability,No
Feb,2,Pontiac,Urban,Feb,3,Female,Married,40,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Oct,1,Chevrolet,Urban,Oct,2,Male,Single,40,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Collision,No
Jan,4,Pontiac,Rural,Jan,5,Male,Married,40,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,1 to 2,3 to 4,Liability,No
Jan,1,Chevrolet,Rural,Jan,1,Male,Married,40,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
Oct,3,Toyota,Urban,Nov,1,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Aug,5,Ford,Urban,Aug,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Apr,4,Toyota,Urban,Apr,4,Female,Married,41,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Jun,3,Honda,Urban,Jun,3,Male,Single,41,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
May,3,Pontiac,Urban,May,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,more than 5,1 vehicle,All Perils,No
Sep,2,Honda,Urban,Sep,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Dec,4,Chevrolet,Urban,Dec,4,Male,Married,41,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Jul,4,Mazda,Urban,Aug,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,3 to 5,1 vehicle,Liability,No
Oct,4,Honda,Urban,Oct,5,Male,Married,41,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Sep,1,Toyota,Urban,Sep,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,No
Jun,2,Toyota,Urban,Jun,4,Female,Single,42,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
